mun,year,gap,clave,nivel,ent
1,2016,0.004713297,1,2nd quartile,Aguascalientes
2,2016,-0.016413927,1,2nd quartile,Aguascalientes
3,2016,0.08462286,1,3rd quartile,Aguascalientes
4,2016,0.032981873,1,2nd quartile,Aguascalientes
5,2016,0.011514902,1,2nd quartile,Aguascalientes
6,2016,0.060010195,1,2nd quartile,Aguascalientes
7,2016,0.031130075,1,2nd quartile,Aguascalientes
8,2016,-0.15317154,1,1st quartile,Aguascalientes
9,2016,0.01376915,1,2nd quartile,Aguascalientes
10,2016,-0.035538435,1,2nd quartile,Aguascalientes
11,2016,0.061943769,1,2nd quartile,Aguascalientes
1,2016,0.028453827,2,2nd quartile,Baja California
2,2016,0.089283943,2,3rd quartile,Baja California
3,2016,0.010287762,2,2nd quartile,Baja California
4,2016,0.079223633,2,2nd quartile,Baja California
5,2016,0.06930685,2,2nd quartile,Baja California
1,2016,0.12063956,3,3rd quartile,Baja California Sur
2,2016,0.084517956,3,3rd quartile,Baja California Sur
3,2016,0.08159852,3,3rd quartile,Baja California Sur
8,2016,0.09715414,3,3rd quartile,Baja California Sur
9,2016,0.47031474,3,4th quartile,Baja California Sur
1,2016,0.087860584,4,3rd quartile,Campeche
2,2016,-0.027397394,4,2nd quartile,Campeche
3,2016,-0.000235081,4,2nd quartile,Campeche
4,2016,0.034864187,4,2nd quartile,Campeche
5,2016,-0.025294065,4,2nd quartile,Campeche
6,2016,-0.026772738,4,2nd quartile,Campeche
7,2016,2.4155011,4,4th quartile,Campeche
8,2016,-0.077563286,4,1st quartile,Campeche
9,2016,-0.040770292,4,2nd quartile,Campeche
10,2016,-0.44618201,4,1st quartile,Campeche
11,2016,-0.083794117,4,1st quartile,Campeche
2,2016,-0.048974752,5,1st quartile,Coahuila
3,2016,0.2088871,5,3rd quartile,Coahuila
4,2016,-0.33896518,5,1st quartile,Coahuila
6,2016,0.09880662,5,3rd quartile,Coahuila
7,2016,-0.14024591,5,1st quartile,Coahuila
9,2016,-0.017324924,5,2nd quartile,Coahuila
10,2016,0.24149275,5,4th quartile,Coahuila
11,2016,-0.48346877,5,1st quartile,Coahuila
13,2016,0.34278417,5,4th quartile,Coahuila
17,2016,0.12799311,5,3rd quartile,Coahuila
18,2016,0.12157249,5,3rd quartile,Coahuila
20,2016,0.003816128,5,2nd quartile,Coahuila
22,2016,-0.22247887,5,1st quartile,Coahuila
23,2016,-0.099163055,5,1st quartile,Coahuila
24,2016,-0.030216217,5,2nd quartile,Coahuila
25,2016,-0.006017208,5,2nd quartile,Coahuila
26,2016,0.054747105,5,2nd quartile,Coahuila
27,2016,0.098095655,5,3rd quartile,Coahuila
28,2016,0.022913456,5,2nd quartile,Coahuila
30,2016,0.01993084,5,2nd quartile,Coahuila
31,2016,-0.071015596,5,1st quartile,Coahuila
32,2016,0.1839447,5,3rd quartile,Coahuila
33,2016,0.063601494,5,2nd quartile,Coahuila
35,2016,0.055969,5,2nd quartile,Coahuila
37,2016,0.18112063,5,3rd quartile,Coahuila
38,2016,0.024035215,5,2nd quartile,Coahuila
1,2016,0.15874767,6,3rd quartile,Colima
2,2016,0.065091848,6,2nd quartile,Colima
3,2016,0.064862251,6,2nd quartile,Colima
4,2016,0.10079455,6,3rd quartile,Colima
5,2016,0.013174534,6,2nd quartile,Colima
6,2016,-0.009997368,6,2nd quartile,Colima
7,2016,0.19432545,6,3rd quartile,Colima
8,2016,-0.24158788,6,1st quartile,Colima
9,2016,0.21160293,6,3rd quartile,Colima
10,2016,0.076171875,6,2nd quartile,Colima
1,2016,-0.3503263,7,1st quartile,Chiapas
2,2016,-0.56807637,7,1st quartile,Chiapas
6,2016,0.047571659,7,2nd quartile,Chiapas
9,2016,0.083358765,7,3rd quartile,Chiapas
11,2016,-0.24632025,7,1st quartile,Chiapas
12,2016,0.075198174,7,2nd quartile,Chiapas
13,2016,-0.34993172,7,1st quartile,Chiapas
14,2016,-0.56173563,7,1st quartile,Chiapas
