year,trim,x,clave,poblacion,muertos,tasa,ent,var
2020,1,0.53822851,1,1434635,0,0,Aguascalientes,Employment Rate
2021,1,0.52303058,1,1434635,705,49.141418,Aguascalientes,Employment Rate
2022,1,0.52912343,1,1434635,423,29.484852,Aguascalientes,Employment Rate
2021,2,0.52752715,1,1434635,188,13.104379,Aguascalientes,Employment Rate
2022,2,0.53024131,1,1434635,15,1.0455621,Aguascalientes,Employment Rate
2020,3,0.51053572,1,1434635,504,35.130886,Aguascalientes,Employment Rate
2021,3,0.53111577,1,1434635,319,22.23562,Aguascalientes,Employment Rate
2020,4,0.51474571,1,1434635,943,65.731003,Aguascalientes,Employment Rate
2021,4,0.53509492,1,1434635,277,19.308046,Aguascalientes,Employment Rate
2020,1,0.56036973,2,3634868,5,0.13755658,Baja California,Employment Rate
2021,1,0.53520489,2,3634868,1867,51.363625,Baja California,Employment Rate
2022,1,0.55564642,2,3634868,1057,29.07946,Baja California,Employment Rate
2021,2,0.5533219,2,3634868,315,8.6660643,Baja California,Employment Rate
2022,2,0.5655787,2,3634868,39,1.0729413,Baja California,Employment Rate
2020,3,0.52401084,2,3634868,1620,44.568333,Baja California,Employment Rate
2021,3,0.55539113,2,3634868,656,18.047422,Baja California,Employment Rate
2020,4,0.54188204,2,3634868,2403,66.109688,Baja California,Employment Rate
2021,4,0.56275642,2,3634868,1761,48.447426,Baja California,Employment Rate
2020,1,0.62457269,3,804708,2,0.24853736,Baja California Sur,Employment Rate
2021,1,0.57575721,3,804708,493,61.264458,Baja California Sur,Employment Rate
2022,1,0.61569053,3,804708,243,30.197289,Baja California Sur,Employment Rate
2021,2,0.60589808,3,804708,308,38.274754,Baja California Sur,Employment Rate
2022,2,0.62021101,3,804708,22,2.733911,Baja California Sur,Employment Rate
2020,3,0.52422678,3,804708,503,62.507145,Baja California Sur,Employment Rate
2021,3,0.60202289,3,804708,718,89.224915,Baja California Sur,Employment Rate
2020,4,0.56579965,3,804708,251,31.191439,Baja California Sur,Employment Rate
2021,4,0.61543751,3,804708,85,10.562838,Baja California Sur,Employment Rate
2020,1,0.56716418,4,1000617,0,0,Campeche,Employment Rate
2021,1,0.57521349,4,1000617,160,15.990134,Campeche,Employment Rate
2022,1,0.55572945,4,1000617,108,10.793341,Campeche,Employment Rate
2021,2,0.58096528,4,1000617,150,14.99075,Campeche,Employment Rate
2022,2,0.56510288,4,1000617,9,0.89944506,Campeche,Employment Rate
2020,3,0.49784058,4,1000617,697,69.657021,Campeche,Employment Rate
2021,3,0.55937171,4,1000617,634,63.360905,Campeche,Employment Rate
2020,4,0.54426444,4,1000617,60,5.9963002,Campeche,Employment Rate
2021,4,0.55783069,4,1000617,138,13.791491,Campeche,Employment Rate
2020,1,0.52959347,5,3218720,5,0.15534125,Coahuila,Employment Rate
2021,1,0.52976346,5,3218720,1668,51.821842,Coahuila,Employment Rate
2022,1,0.53826231,5,3218720,935,29.048815,Coahuila,Employment Rate
2021,2,0.54464084,5,3218720,141,4.3806233,Coahuila,Employment Rate
2022,2,0.55264276,5,3218720,13,0.40388727,Coahuila,Employment Rate
2020,3,0.50800484,5,3218720,1809,56.202465,Coahuila,Employment Rate
2021,3,0.54438168,5,3218720,688,21.374956,Coahuila,Employment Rate
2020,4,0.52570099,5,3218720,2557,79.441521,Coahuila,Employment Rate
2021,4,0.54289818,5,3218720,677,21.033205,Coahuila,Employment Rate
2020,1,0.60818154,6,785153,0,0,Colima,Employment Rate
2021,1,0.57995784,6,785153,340,43.303661,Colima,Employment Rate
2022,1,0.60574198,6,785153,155,19.741375,Colima,Employment Rate
2021,2,0.60509819,6,785153,65,8.2786417,Colima,Employment Rate
2022,2,0.61713219,6,785153,8,1.0189097,Colima,Employment Rate
2020,3,0.54625988,6,785153,505,64.318672,Colima,Employment Rate
2021,3,0.6180324,6,785153,703,89.53669,Colima,Employment Rate
2020,4,0.55966395,6,785153,238,30.312563,Colima,Employment Rate
2021,4,0.62267262,6,785153,113,14.392099,Colima,Employment Rate
2020,1,0.50929904,7,5730367,0,0,Chiapas,Employment Rate
2021,1,0.49588579,7,5730367,274,4.7815437,Chiapas,Employment Rate
2022,1,0.49890363,7,5730367,107,1.8672452,Chiapas,Employment Rate
2021,2,0.52330673,7,5730367,85,1.4833256,Chiapas,Employment Rate
2022,2,0.50327009,7,5730367,3,0.052352667,Chiapas,Employment Rate
2020,3,0.47045636,7,5730367,470,8.2019176,Chiapas,Employment Rate
2021,3,0.50438368,7,5730367,545,9.5107346,Chiapas,Employment Rate
2020,4,0.49207452,7,5730367,65,1.1343079,Chiapas,Employment Rate
2021,4,0.5190962,7,5730367,73,1.2739149,Chiapas,Employment Rate
2020,1,0.5527066,8,3801487,1,0.026305495,Chihuahua,Employment Rate
2021,1,0.52563953,8,3801487,1054,27.725992,Chihuahua,Employment Rate
2022,1,0.5450986,8,3801487,1075,28.278408,Chihuahua,Employment Rate
2021,2,0.54392332,8,3801487,812,21.360062,Chihuahua,Employment Rate
2022,2,0.56564718,8,3801487,34,0.89438683,Chihuahua,Employment Rate
2020,3,0.54174149,8,3801487,900,23.674946,Chihuahua,Employment Rate
2021,3,0.55726272,8,3801487,318,8.3651476,Chihuahua,Employment Rate
2020,4,0.54342771,8,3801487,3717,97.777527,Chihuahua,Employment Rate
2021,4,0.55882919,8,3801487,954,25.095444,Chihuahua,Employment Rate
2020,1,0.55699563,9,9018645,24,0.26611537,Mexico City,Employment Rate
2021,1,0.47799692,9,9018645,13075,144.97743,Mexico City,Employment Rate
2022,1,0.54154551,9,9018645,2138,23.706444,Mexico City,Employment Rate
2021,2,0.50952542,9,9018645,1722,19.093777,Mexico City,Employment Rate
