ent,sex,year,mes,saltrim
Aguascalientes,Hombre,2005,3,30178.633
Baja California,Hombre,2005,3,41130.676
Baja California Sur,Hombre,2005,3,38963.586
Campeche,Hombre,2005,3,28872.416
Coahuila de Zaragoza,Hombre,2005,3,34044.371
Colima,Hombre,2005,3,33552.766
Chiapas,Hombre,2005,3,23951.078
Chihuahua,Hombre,2005,3,34018.121
Ciudad de México,Hombre,2005,3,36130.949
Durango,Hombre,2005,3,27393.949
Guanajuato,Hombre,2005,3,31961.145
Guerrero,Hombre,2005,3,27315.34
Hidalgo,Hombre,2005,3,32624.748
Jalisco,Hombre,2005,3,36792.621
México,Hombre,2005,3,29560.361
Michoacán de Ocampo,Hombre,2005,3,32512.77
Morelos,Hombre,2005,3,29166.359
Nayarit,Hombre,2005,3,31233.963
Nuevo León,Hombre,2005,3,40950.715
Oaxaca,Hombre,2005,3,28972.178
Puebla,Hombre,2005,3,29629.592
Querétaro,Hombre,2005,3,33883.82
Quintana Roo,Hombre,2005,3,39468.672
San Luis Potosí,Hombre,2005,3,33054.508
Sinaloa,Hombre,2005,3,37902.625
Sonora,Hombre,2005,3,36209.969
Tabasco,Hombre,2005,3,34902.656
Tamaulipas,Hombre,2005,3,34182.133
Tlaxcala,Hombre,2005,3,22531.475
Veracruz de Ignacio de la Llave,Hombre,2005,3,30655.143
Yucatán,Hombre,2005,3,29512.596
Zacatecas,Hombre,2005,3,33466.18
Aguascalientes,Hombre,2005,6,31047.523
Baja California,Hombre,2005,6,42598.078
Baja California Sur,Hombre,2005,6,38243.703
Campeche,Hombre,2005,6,27781.146
Coahuila de Zaragoza,Hombre,2005,6,35584.063
Colima,Hombre,2005,6,34148.461
Chiapas,Hombre,2005,6,23740.51
Chihuahua,Hombre,2005,6,36310.609
Ciudad de México,Hombre,2005,6,37223.73
Durango,Hombre,2005,6,26989.213
Guanajuato,Hombre,2005,6,31883.172
Guerrero,Hombre,2005,6,28627.58
Hidalgo,Hombre,2005,6,33913.309
Jalisco,Hombre,2005,6,38473.695
México,Hombre,2005,6,31514.818
Michoacán de Ocampo,Hombre,2005,6,32356.896
Morelos,Hombre,2005,6,28828.373
Nayarit,Hombre,2005,6,31687.482
Nuevo León,Hombre,2005,6,41535.719
Oaxaca,Hombre,2005,6,28672.256
Puebla,Hombre,2005,6,29824.854
Querétaro,Hombre,2005,6,34971.355
Quintana Roo,Hombre,2005,6,39010.129
San Luis Potosí,Hombre,2005,6,32959.984
Sinaloa,Hombre,2005,6,37707.785
Sonora,Hombre,2005,6,39196.625
Tabasco,Hombre,2005,6,35268.996
Tamaulipas,Hombre,2005,6,33188.594
Tlaxcala,Hombre,2005,6,23516.072
Veracruz de Ignacio de la Llave,Hombre,2005,6,30418.854
Yucatán,Hombre,2005,6,30057.541
Zacatecas,Hombre,2005,6,31079.506
Aguascalientes,Hombre,2005,9,32215.104
Baja California,Hombre,2005,9,43232.844
Baja California Sur,Hombre,2005,9,39735.051
Campeche,Hombre,2005,9,28407.041
Coahuila de Zaragoza,Hombre,2005,9,35971.289
Colima,Hombre,2005,9,34037.762
Chiapas,Hombre,2005,9,23846.881
Chihuahua,Hombre,2005,9,36574.586
Ciudad de México,Hombre,2005,9,36959.734
Durango,Hombre,2005,9,27824.512
Guanajuato,Hombre,2005,9,30688.332
Guerrero,Hombre,2005,9,27986.48
Hidalgo,Hombre,2005,9,33916.973
Jalisco,Hombre,2005,9,38484.609
México,Hombre,2005,9,32105.643
Michoacán de Ocampo,Hombre,2005,9,31780.482
Morelos,Hombre,2005,9,28827.371
Nayarit,Hombre,2005,9,30180.869
Nuevo León,Hombre,2005,9,41651.5
Oaxaca,Hombre,2005,9,28471.547
Puebla,Hombre,2005,9,29610.375
Querétaro,Hombre,2005,9,36593.637
Quintana Roo,Hombre,2005,9,40359.133
San Luis Potosí,Hombre,2005,9,30914.48
Sinaloa,Hombre,2005,9,37475.27
Sonora,Hombre,2005,9,37460.512
Tabasco,Hombre,2005,9,36010.871
Tamaulipas,Hombre,2005,9,34594.855
Tlaxcala,Hombre,2005,9,23266.723
Veracruz de Ignacio de la Llave,Hombre,2005,9,28643.449
Yucatán,Hombre,2005,9,28362.088
Zacatecas,Hombre,2005,9,31453.736
Aguascalientes,Hombre,2005,12,31454.955
