clave,ent,year,var,value,cuartil
1,Aguascalientes,2016,Levels,-0.003660679,1st quartile
2,Baja California,2016,Levels,0.068874121,1st quartile
3,Baja California Sur,2016,Levels,0.10053468,3rd quartile
4,Campeche,2016,Levels,-0.047754049,1st quartile
5,Coahuila,2016,Levels,0.035126925,4th quartile
6,Colima,2016,Levels,0.11079693,2nd quartile
7,Chiapas,2016,Levels,-0.30365944,1st quartile
8,Chihuahua,2016,Levels,0.068125963,2nd quartile
9,Mexico City,2016,Levels,0.01723671,1st quartile
10,Durango,2016,Levels,0.06590724,4th quartile
11,Guanajuato,2016,Levels,0.060101509,3rd quartile
12,Guerrero,2016,Levels,0.15996766,1st quartile
13,Hidalgo,2016,Levels,-0.019706249,4th quartile
14,Jalisco,2016,Levels,0.13383341,2nd quartile
15,Mexico,2016,Levels,0.056682348,1st quartile
16,Michoacan,2016,Levels,0.10020089,2nd quartile
17,Morelos,2016,Levels,0.10361743,2nd quartile
18,Nayarit,2016,Levels,0.095860004,3rd quartile
19,Nuevo Leon,2016,Levels,0.063787222,2nd quartile
20,Oaxaca,2016,Levels,0.028054476,4th quartile
21,Puebla,2016,Levels,0.056127071,2nd quartile
22,Queretaro,2016,Levels,0.10250163,2nd quartile
23,Quintana Roo,2016,Levels,0.01966095,4th quartile
24,San Luis Potosi,2016,Levels,-0.023285389,1st quartile
25,Sinaloa,2016,Levels,0.059347868,4th quartile
26,Sonora,2016,Levels,0.055321455,3rd quartile
27,Tabasco,2016,Levels,-0.043645144,3rd quartile
28,Tamaulipas,2016,Levels,0.070524216,3rd quartile
29,Tlaxcala,2016,Levels,0.09454298,3rd quartile
30,Veracruz,2016,Levels,0.032500744,4th quartile
31,Yucatan,2016,Levels,0.12492013,3rd quartile
32,Zacatecas,2016,Levels,-0.052975178,4th quartile
1,Aguascalientes,2017,Levels,0.012380838,1st quartile
2,Baja California,2017,Levels,0.082264662,4th quartile
3,Baja California Sur,2017,Levels,0.10425806,3rd quartile
4,Campeche,2017,Levels,-0.07601881,4th quartile
5,Coahuila,2017,Levels,0.02200985,2nd quartile
6,Colima,2017,Levels,0.13937449,4th quartile
7,Chiapas,2017,Levels,-0.33696747,3rd quartile
8,Chihuahua,2017,Levels,0.071120262,3rd quartile
9,Mexico City,2017,Levels,0.009649038,1st quartile
10,Durango,2017,Levels,0.005372763,1st quartile
11,Guanajuato,2017,Levels,0.052455425,2nd quartile
12,Guerrero,2017,Levels,0.045915365,1st quartile
13,Hidalgo,2017,Levels,0.045596838,1st quartile
14,Jalisco,2017,Levels,0.11610341,2nd quartile
15,Mexico,2017,Levels,0.043225765,2nd quartile
16,Michoacan,2017,Levels,0.12382174,4th quartile
17,Morelos,2017,Levels,0.10461068,3rd quartile
18,Nayarit,2017,Levels,0.091640949,3rd quartile
19,Nuevo Leon,2017,Levels,0.075511217,4th quartile
20,Oaxaca,2017,Levels,0.047424793,4th quartile
21,Puebla,2017,Levels,0.064493895,3rd quartile
22,Queretaro,2017,Levels,0.076136351,2nd quartile
23,Quintana Roo,2017,Levels,0.043091059,4th quartile
