Concept,Definition
Upper secondary level,"It includes the studies of high school, technical or commercial careers with background of lower secondary school and normal school for basic education."
Abandonment rate of work due to dissatisfaction,"Proportion of the population that left their occupation during the year in which the interview was conducted or in the previous one for the following reasons: change or deterioration of working conditions, wanted to earn more or become independent, work was risky or unhealthy, lack of opportunity for promotion, harassment or disrespect, conflict with their boss or superior, regarding the population in working age ."
Ability to read and write,Situation that distinguishes the population aged 5 years and over according to whether or not they can read and write a message.
Additional job search status,Situation that characterizes the underemployed population as it has or has not undertaken the search for another job in addition to the one it had during the reference week.
Affiliation to health services,"Right of people to receive medical services in public or private health institutions, as a result of a work benefit."
Affiliation to IMSS,Right to medical services of the Mexican Social Security Institute (IMSS) for being an insured worker.
Affiliation to ISSSTE,Right to medical services of the Social Security Institute for Social Workers (ISSSTE) for being an insured worker.
Age,Complete years that a person is from their date of birth until the time of the interview.
Alternative unemployment rate,It is the proportion of the economically active population (EAP) and the non-economically active population (PNEA) that is unemployed or available for work even if they have abandoned the search for it.
Appropriate informant,"Person aged 15 years and over who is a habitual resident of the housing unit, a member of the interviewed household who knows the information requested."
Autonomous worker,See independent worker
Availability of a written contract of employment,Condition that distinguishes remunerated workers as they have established a labor pact with the economic unit that they work for
Availability of domestic work,"Situation that distinguishes households, depending on whether or not they have the service of employee(s) who perform household cleaning, food preparation and care of children, elderly and disabled in the household, among others."
Availability of social benefits,Situation that distinguishes salaried workers in accordance with
Availability to work condition,State that distinguishes the non-economically active population (PNEA) according to their interest in participating or not in an economic activity.
Average age of the economically active population,Average number of age of the economically active population (EAP) at the time of the interview.
Average age of the head of the household,Average age of heads of the household.
Average hours worked per week by the employed population,Average number of hours worked by the employed population per week.
Average income per hour worked of employers,Average income earned by employers per hour worked.
Average income per hour worked of self-employed workers,Average income earned by self-employed workers per hour worked.
Average income per hour worked of self-employed workers in non-qualified activities,"Average income obtained by self-employed workers who perform non-qualified activities, per hour worked."
Average income per hour worked of subordinate salaried workers,"Average income earned by subordinate and remunerated workers with salary payments, per hour worked."
Average income per hour worked of subordinate workers with non-salary payments,"Average income earned by subordinate and remunerated workers with non-salary payments, per hour worked."
Average income per hour worked of the employed population,"Average income earned by the employed population, per hour worked."
Average of schooling of the head of the household,Average number of years accredited by the heads of the National Education System (SEN).
Average working hours,Time measured in hours that the employed population normally dedicates to its job.
Average years of schooling of the economically active population,Average number of years of formal education that the economically active population (EAP) has studied.
Basic geostatistics area,"Geographic space consisting of a set of blocks, generally ranging from 1 to 50, delimited by streets, avenues, walkers or any other features easily identifiable in the land and whose land use is mainly housing, industrial, services, commercial , among others."
Basic Geostatistics Area (AGEB),It is the territorial extension that corresponds to the subdivision of the municipal geostatistical areas.
Basic level,"Conformation of the studies that comprise the pre-primary school, primary and lower secondary education."
Block,"Geographical area of variable surface that is constituted by one or a set of housing units, buildings or premises of residential, commercial, industrial and/or service use, among others. Generally, it can be surrounded in its totality and is delimited by streets, walkers, gaps, sidewalks, fences, streams, limits of parcels and other elements."
Business not constituted as a society,"Economic unit of the formal private sector, which does not operate under a scheme that allows sharing economic risks."
Cause of unemployment,Reasons that determined that the person lost or left a job.
Census household head,Person recognized as the head of the household by the usual residents of the housing unit.
Child born alive,Product of the pregnancy of the female population aged 12 years and over who at birth showed some sign of life.
Classification of EAP and NEAP,"Categorization of the economically active population (EAP) in the employed population, which is classified as: employed people who worked during the reference week, temporary absent individuals with employment relationship with payment and temporary absent individuals with unpaid employment relationship, but with guaranteed return and the unemployed population. The latter is classified as: initiators looking for a job and absent individuals without income and without employment relationship. In turn, the non-economically active population (NEAP) is grouped into available and unavailable population."
Collective housing unit,"Housing unit that provides accommodation to people who share or are subject to norms of coexistence and behavior for reasons of health, education, discipline, religion, work and social assistance, among others, and that at the time of the conduction has regular residents, but that is not the subject of attention in this survey."
Collective labor contract,Agreement hold between one or more unions and one or more employers (or employers unions) in order to establish the conditions under which work must be performed in one or more enterprises or establishments.
Common expenditure,"Income shared by household members, mainly to consume food, which can be provided by one or more members."
Condition of access to health institutions,"Situation that distinguishes the employed population, depending on whether or not they have medical care in public or private institutions, derived from their main job."
