year,mes,periodo,inpc
1999,1,1999_1,40.46977028
1999,2,1999_2,41.01364281
1999,3,1999_3,41.39468378
1999,4,1999_4,41.77457661
1999,5,1999_5,42.02587708
1999,6,1999_6,42.3020062
1999,7,1999_7,42.58157977
1999,8,1999_8,42.82125526
1999,9,1999_9,43.23501839
1999,10,1999_10,43.50885123
1999,11,1999_11,43.89577645
1999,12,1999_12,44.33551639
2000,1,2000_1,44.93083012
2000,2,2000_2,45.32938031
2000,3,2000_3,45.58068078
2000,4,2000_4,45.84001827
2000,5,2000_5,46.01137907
2000,6,2000_6,46.28392024
2000,7,2000_7,46.46446621
2000,8,2000_8,46.71978519
2000,9,2000_9,47.0610716
2000,10,2000_10,47.38513583
2000,11,2000_11,47.79028786
2000,12,2000_12,48.30767118
2001,1,2001_1,48.57547625
2001,2,2001_2,48.54332816
2001,3,2001_3,48.85088778
2001,4,2001_4,49.09730863
2001,5,2001_5,49.20997046
2001,6,2001_6,49.32636377
2001,7,2001_7,49.19820196
2001,8,2001_8,49.48968755
2001,9,2001_9,49.95038115
2001,10,2001_10,50.17613537
2001,11,2001_11,50.36514891
2001,12,2001_12,50.43489879
2002,1,2002_1,50.90047201
2002,2,2002_2,50.86774985
2002,3,2002_3,51.12794844
2002,4,2002_4,51.40723497
2002,5,2002_5,51.51142923
2002,6,2002_6,51.76258618
2002,7,2002_7,51.91118135
2002,8,2002_8,52.1085603
2002,9,2002_9,52.42198356
2002,10,2002_10,52.65303609
2002,11,2002_11,53.07887728
2002,12,2002_12,53.3099298
2003,1,2003_1,53.52544068
2003,2,2003_2,53.67412245
2003,3,2003_3,54.01293041
2003,4,2003_4,54.1051442
2003,5,2003_5,53.93055967
2003,6,2003_6,53.9751124
2003,7,2003_7,54.0533387
2003,8,2003_8,54.21548991
2003,9,2003_9,54.53823816
2003,10,2003_10,54.73820739
2003,11,2003_11,55.19254161
2003,12,2003_12,55.42981079
2004,1,2004_1,55.77431735
2004,2,2004_2,56.10794476
2004,3,2004_3,56.29807094
2004,4,2004_4,56.38303195
2004,5,2004_5,56.24160294
2004,6,2004_6,56.33174451
2004,7,2004_7,56.47939018
2004,8,2004_8,56.82804118
2004,9,2004_9,57.29791705
2004,10,2004_10,57.69474717
2004,11,2004_11,58.1868994
2004,12,2004_12,58.30708815
2005,1,2005_1,58.30916037
2005,2,2005_2,58.50343099
2005,3,2005_3,58.76712098
2005,4,2005_4,58.97641519
2005,5,2005_5,58.82825146
2005,6,2005_6,58.77178347
2005,7,2005_7,59.00179988
2005,8,2005_8,59.07225536
2005,9,2005_9,59.30900649
2005,10,2005_10,59.45457994
2005,11,2005_11,59.88249335
2005,12,2005_12,60.25031239
2006,1,2006_1,60.60362589
2006,2,2006_2,60.69635773
2006,3,2006_3,60.77251181
2006,4,2006_4,60.86161727
2006,5,2006_5,60.59067451
2006,6,2006_6,60.64299806
2006,7,2006_7,60.80929371
2006,8,2006_8,61.11960865
2006,9,2006_9,61.73661213
2006,10,2006_10,62.00651878
2006,11,2006_11,62.3318573
2006,12,2006_12,62.69242357
2007,1,2007_1,63.01620793
2007,2,2007_2,63.19234663
2007,3,2007_3,63.32911314
2007,4,2007_4,63.29129513
2007,5,2007_5,62.98253436
2007,6,2007_6,63.05817039
2007,7,2007_7,63.32600481
2007,8,2007_8,63.58399619
2007,9,2007_9,64.07770259
2007,10,2007_10,64.32740509
2007,11,2007_11,64.78122126
2007,12,2007_12,65.04905568
2008,1,2008_1,65.35056368
2008,2,2008_2,65.5448343
2008,3,2008_3,66.01989072
2008,4,2008_4,66.17012666
2008,5,2008_5,66.09863507
2008,6,2008_6,66.3721681
2008,7,2008_7,66.74205936
2008,8,2008_8,67.12749227
2008,9,2008_9,67.58493481
2008,10,2008_10,68.04548569
2008,11,2008_11,68.81894178
2008,12,2008_12,69.29555236
2009,1,2009_1,69.45614941
2009,2,2009_2,69.60949368
2009,3,2009_3,70.00995018
2009,4,2009_4,70.25499019
2009,5,2009_5,70.05035847
2009,6,2009_6,70.17935416
2009,7,2009_7,70.37051645
2009,8,2009_8,70.53888432
2009,9,2009_9,70.89271587
2009,10,2009_10,71.10719063
2009,11,2009_11,71.47604578
2009,12,2009_12,71.77185517
2010,1,2010_1,72.55204598
2010,2,2010_2,72.97167051
2010,3,2010_3,73.48972549
2010,4,2010_4,73.25556464
2010,5,2010_5,72.79397765
2010,6,2010_6,72.77118323
2010,7,2010_7,72.92919
2010,8,2010_8,73.1317495
2010,9,2010_9,73.51511019
2010,10,2010_10,73.96892635
2010,11,2010_11,74.56158125
2010,12,2010_12,74.93095445
2011,1,2011_1,75.29599135
2011,2,2011_2,75.57846024
2011,3,2011_3,75.72345093
2011,4,2011_4,75.71744095
2011,5,2011_5,75.15926438
2011,6,2011_6,75.15550814
2011,7,2011_7,75.51610674
2011,8,2011_8,75.63555502
2011,9,2011_9,75.82111305
2011,10,2011_10,76.3327123
2011,11,2011_11,77.15833283
2011,12,2011_12,77.79238536
2012,1,2012_1,78.34304946
2012,2,2012_2,78.50231384
2012,3,2012_3,78.54738867
2012,4,2012_4,78.30097963
2012,5,2012_5,78.05381934
2012,6,2012_6,78.41366669
2012,7,2012_7,78.85389747
2012,8,2012_8,79.0905403
2012,9,2012_9,79.43911894
2012,10,2012_10,79.84103612
2012,11,2012_11,80.3834365
2012,12,2012_12,80.56824328
2013,1,2013_1,80.89278202
2013,2,2013_2,81.29094297
2013,3,2013_3,81.88743314
2013,4,2013_4,81.94152293
2013,5,2013_5,81.66882024
2013,6,2013_6,81.61923793
2013,7,2013_7,81.59219304
2013,8,2013_8,81.82432839
2013,9,2013_9,82.13233968
2013,10,2013_10,82.52298816
2013,11,2013_11,83.29226516
2013,12,2013_12,83.7700583
2014,1,2014_1,84.51905163
2014,2,2014_2,84.73315704
2014,3,2014_3,84.96529239
2014,4,2014_4,84.80677925
2014,5,2014_5,84.53557906
2014,6,2014_6,84.68207224
2014,7,2014_7,84.91495883
2014,8,2014_8,85.21996514
2014,9,2014_9,85.59633992
2014,10,2014_10,86.06962558
2014,11,2014_11,86.76377787
2014,12,2014_12,87.18898371
2015,1,2015_1,87.11010277
2015,2,2015_2,87.27537713
2015,3,2015_3,87.63071699
2015,4,2015_4,87.40384038
2015,5,2015_5,86.96736583
2015,6,2015_6,87.11310776
2015,7,2015_7,87.24081976
2015,8,2015_8,87.42487529
2015,9,2015_9,87.75241902
2015,10,2015_10,88.2039185
2015,11,2015_11,88.68546788
2015,12,2015_12,89.04681772
2016,1,2016_1,89.38638139
2016,2,2016_2,89.77778112
2016,3,2016_3,89.9100006
2016,4,2016_4,89.62527796
2016,5,2016_5,89.22561452
2016,6,2016_6,89.32402789
2016,7,2016_7,89.55691448
2016,8,2016_8,89.80933349
2016,9,2016_9,90.35774385
2016,10,2016_10,90.90615422
2016,11,2016_11,91.61683394
2016,12,2016_12,92.0390348
2017,1,2017_1,93.60388244
2017,2,2017_2,94.14478034
2017,3,2017_3,94.72248933
2017,4,2017_4,94.83893263
2017,5,2017_5,94.72549432
2017,6,2017_6,94.96363964
2017,7,2017_7,95.32273574
2017,8,2017_8,95.79376765
2017,9,2017_9,96.09351524
2017,10,2017_10,96.69826913
2017,11,2017_11,97.69517399
2017,12,2017_12,98.27288299
2018,1,2018_1,98.7949997
2018,2,2018_2,99.17137448
2018,3,2018_3,99.49215698
2018,4,2018_4,99.15484705
2018,5,2018_5,98.99408017
2018,6,2018_6,99.37646493
2018,7,2018_7,99.9090991
2018,8,2018_8,100.492
2018,9,2018_9,100.917
2018,10,2018_10,101.44
2018,11,2018_11,102.303
2018,12,2018_12,103.02
2019,1,2019_1,103.108
2019,2,2019_2,103.079
2019,3,2019_3,103.476
2019,4,2019_4,103.531
2019,5,2019_5,103.233
2019,6,2019_6,103.299
2019,7,2019_7,103.687
2019,8,2019_8,103.67
2019,9,2019_9,103.942
2019,10,2019_10,104.503
2019,11,2019_11,105.346
2019,12,2019_12,105.934
2020,1,2020_1,106.447
2020,2,2020_2,106.889
2020,3,2020_3,106.838
2020,4,2020_4,105.755
2020,5,2020_5,106.162
2020,6,2020_6,106.743
2020,7,2020_7,107.444
2020,8,2020_8,107.867
2020,9,2020_9,108.114
2020,10,2020_10,108.774
2020,11,2020_11,108.856
2020,12,2020_12,109.271
2021,1,2021_1,110.21
2021,2,2021_2,110.907
2021,3,2021_3,111.824
2021,4,2021_4,112.19
2021,5,2021_5,112.419
2021,6,2021_6,113.018
2021,7,2021_7,113.682
2021,8,2021_8,113.899
2021,9,2021_9,114.601
2021,10,2021_10,115.561
2021,11,2021_11,116.884
2021,12,2021_12,117.308
2022,1,2022_1,118.002
2022,2,2022_2,118.981
2022,3,2022_3,120.159
2022,4,2022_4,120.809
2022,5,2022_5,121.022
2022,6,2022_6,122.044
2022,7,2022_7,122.948
