mes,year,puesto,numero
septiembre,2022,Puestos de trabajo eventuales urbanos,"2,641,055.00"
agosto,2022,Puestos de trabajo eventuales urbanos,"2,604,386.00"
julio,2022,Puestos de trabajo eventuales urbanos,"2,563,403.00"
junio,2022,Puestos de trabajo eventuales urbanos,"2,541,393.00"
mayo,2022,Puestos de trabajo eventuales urbanos,"2,520,179.00"
abril,2022,Puestos de trabajo eventuales urbanos,"2,513,103.00"
marzo,2022,Puestos de trabajo eventuales urbanos,"2,507,037.00"
febrero,2022,Puestos de trabajo eventuales urbanos,"2,492,801.00"
enero,2022,Puestos de trabajo eventuales urbanos,"2,456,213.00"
diciembre,2021,Puestos de trabajo eventuales urbanos,"2,403,412.00"
noviembre,2021,Puestos de trabajo eventuales urbanos,"2,510,570.00"
octubre,2021,Puestos de trabajo eventuales urbanos,"2,483,638.00"
septiembre,2021,Puestos de trabajo eventuales urbanos,"2,431,819.00"
agosto,2021,Puestos de trabajo eventuales urbanos,"2,407,357.00"
julio,2021,Puestos de trabajo eventuales urbanos,"2,404,410.00"
junio,2021,Puestos de trabajo eventuales urbanos,"2,629,525.00"
mayo,2021,Puestos de trabajo eventuales urbanos,"2,634,594.00"
abril,2021,Puestos de trabajo eventuales urbanos,"2,608,912.00"
marzo,2021,Puestos de trabajo eventuales urbanos,"2,596,180.00"
febrero,2021,Puestos de trabajo eventuales urbanos,"2,569,708.00"
enero,2021,Puestos de trabajo eventuales urbanos,"2,545,590.00"
diciembre,2020,Puestos de trabajo eventuales urbanos,"2,518,057.00"
noviembre,2020,Puestos de trabajo eventuales urbanos,"2,625,992.00"
octubre,2020,Puestos de trabajo eventuales urbanos,"2,588,395.00"
septiembre,2020,Puestos de trabajo eventuales urbanos,"2,516,101.00"
agosto,2020,Puestos de trabajo eventuales urbanos,"2,479,361.00"
julio,2020,Puestos de trabajo eventuales urbanos,"2,436,253.00"
junio,2020,Puestos de trabajo eventuales urbanos,"2,403,455.00"
mayo,2020,Puestos de trabajo eventuales urbanos,"2,368,823.00"
abril,2020,Puestos de trabajo eventuales urbanos,"2,416,452.00"
marzo,2020,Puestos de trabajo eventuales urbanos,"2,589,243.00"
febrero,2020,Puestos de trabajo eventuales urbanos,"2,658,228.00"
enero,2020,Puestos de trabajo eventuales urbanos,"2,622,023.00"
diciembre,2019,Puestos de trabajo eventuales urbanos,"2,612,700.00"
noviembre,2019,Puestos de trabajo eventuales urbanos,"2,768,673.00"
octubre,2019,Puestos de trabajo eventuales urbanos,"2,755,840.00"
septiembre,2019,Puestos de trabajo eventuales urbanos,"2,715,461.00"
agosto,2019,Puestos de trabajo eventuales urbanos,"2,681,720.00"
julio,2019,Puestos de trabajo eventuales urbanos,"2,699,073.00"
junio,2019,Puestos de trabajo eventuales urbanos,"2,666,063.00"
mayo,2019,Puestos de trabajo eventuales urbanos,"2,681,070.00"
abril,2019,Puestos de trabajo eventuales urbanos,"2,671,344.00"
