genero,ll_g,ul_g,genero_mco,ll_g_mco,ul_g_mco,n,year
-0.098612789,-0.166550382,-0.030675196,-0.123599921,-0.132125827,-0.115074016,1,2018
-0.074738565,-0.118545507,-0.030931622,-0.123599921,-0.132125827,-0.115074016,2,2018
-0.108180089,-0.139110052,-0.077250125,-0.123599921,-0.132125827,-0.115074016,3,2018
-0.121495074,-0.148561325,-0.094428823,-0.123599921,-0.132125827,-0.115074016,4,2018
-0.128054815,-0.152951928,-0.103157702,-0.123599921,-0.132125827,-0.115074016,5,2018
-0.133689758,-0.156131723,-0.111247793,-0.123599921,-0.132125827,-0.115074016,6,2018
-0.131057543,-0.150040116,-0.112074971,-0.123599921,-0.132125827,-0.115074016,7,2018
-0.128410468,-0.144706088,-0.112114848,-0.123599921,-0.132125827,-0.115074016,8,2018
-0.137672705,-0.15576913,-0.119576281,-0.123599921,-0.132125827,-0.115074016,9,2018
-0.137177485,-0.154328628,-0.120026342,-0.123599921,-0.132125827,-0.115074016,10,2018
-0.132722384,-0.149461547,-0.115983222,-0.123599921,-0.132125827,-0.115074016,11,2018
-0.135376898,-0.15067945,-0.120074346,-0.123599921,-0.132125827,-0.115074016,12,2018
-0.133351877,-0.148120974,-0.11858278,-0.123599921,-0.132125827,-0.115074016,13,2018
-0.130740497,-0.144733087,-0.116747907,-0.123599921,-0.132125827,-0.115074016,14,2018
-0.126523907,-0.139798294,-0.11324952,-0.123599921,-0.132125827,-0.115074016,15,2018
-0.129547565,-0.142204818,-0.116890312,-0.123599921,-0.132125827,-0.115074016,16,2018
-0.132189024,-0.144045601,-0.120332447,-0.123599921,-0.132125827,-0.115074016,17,2018
-0.135193106,-0.146030401,-0.124355811,-0.123599921,-0.132125827,-0.115074016,18,2018
-0.135284059,-0.146047762,-0.124520355,-0.123599921,-0.132125827,-0.115074016,19,2018
-0.135298779,-0.146476038,-0.12412152,-0.123599921,-0.132125827,-0.115074016,20,2018
-0.13359574,-0.144616302,-0.122575178,-0.123599921,-0.132125827,-0.115074016,21,2018
-0.132979089,-0.143944572,-0.122013606,-0.123599921,-0.132125827,-0.115074016,22,2018
-0.131527368,-0.142409355,-0.120645381,-0.123599921,-0.132125827,-0.115074016,23,2018
-0.129141768,-0.139372304,-0.118911233,-0.123599921,-0.132125827,-0.115074016,24,2018
-0.131305574,-0.141353237,-0.121257912,-0.123599921,-0.132125827,-0.115074016,25,2018
-0.131361048,-0.141689453,-0.121032642,-0.123599921,-0.132125827,-0.115074016,26,2018
-0.130263063,-0.140683851,-0.119842276,-0.123599921,-0.132125827,-0.115074016,27,2018
-0.129315519,-0.139852315,-0.118778724,-0.123599921,-0.132125827,-0.115074016,28,2018
-0.127880261,-0.137913149,-0.117847373,-0.123599921,-0.132125827,-0.115074016,29,2018
-0.127192783,-0.136828389,-0.117557177,-0.123599921,-0.132125827,-0.115074016,30,2018
-0.127916059,-0.137318657,-0.118513461,-0.123599921,-0.132125827,-0.115074016,31,2018
-0.128000248,-0.137220643,-0.118779853,-0.123599921,-0.132125827,-0.115074016,32,2018
-0.125458517,-0.134671457,-0.116245576,-0.123599921,-0.132125827,-0.115074016,33,2018
-0.124169186,-0.133084041,-0.115254332,-0.123599921,-0.132125827,-0.115074016,34,2018
-0.124085861,-0.132869313,-0.115302408,-0.123599921,-0.132125827,-0.115074016,35,2018
-0.127038489,-0.135887077,-0.118189902,-0.123599921,-0.132125827,-0.115074016,36,2018
-0.127313521,-0.136287984,-0.118339058,-0.123599921,-0.132125827,-0.115074016,37,2018
-0.125925873,-0.135027859,-0.116823887,-0.123599921,-0.132125827,-0.115074016,38,2018
-0.126199403,-0.135284873,-0.117113932,-0.123599921,-0.132125827,-0.115074016,39,2018
-0.126501527,-0.135345908,-0.117657147,-0.123599921,-0.132125827,-0.115074016,40,2018
-0.127119078,-0.135877269,-0.118360887,-0.123599921,-0.132125827,-0.115074016,41,2018
-0.12630847,-0.134684971,-0.11793197,-0.123599921,-0.132125827,-0.115074016,42,2018
-0.125382891,-0.133795116,-0.116970666,-0.123599921,-0.132125827,-0.115074016,43,2018
-0.125301094,-0.133887039,-0.11671515,-0.123599921,-0.132125827,-0.115074016,44,2018
-0.125454554,-0.134174874,-0.116734234,-0.123599921,-0.132125827,-0.115074016,45,2018
-0.126199998,-0.135070085,-0.117329912,-0.123599921,-0.132125827,-0.115074016,46,2018
-0.126188932,-0.135202117,-0.117175746,-0.123599921,-0.132125827,-0.115074016,47,2018
-0.124818356,-0.134065794,-0.115570917,-0.123599921,-0.132125827,-0.115074016,48,2018
-0.125312812,-0.134304708,-0.116320916,-0.123599921,-0.132125827,-0.115074016,49,2018
-0.124948889,-0.133630861,-0.116266916,-0.123599921,-0.132125827,-0.115074016,50,2018
