sex,cs_p13_1,anios_esc,year,mes,saltrim
Hombre,Ninguno,0,2005,3,16595.381
Hombre,Preescolar,0,2005,3,17571.303
Hombre,Primaria,0,2005,3,20749.246
Hombre,Primaria,1,2005,3,18358.764
Hombre,Primaria,2,2005,3,18845.895
Hombre,Primaria,3,2005,3,21198.928
Hombre,Primaria,4,2005,3,20409.932
Hombre,Primaria,5,2005,3,21110.711
Hombre,Primaria,6,2005,3,24098.236
Hombre,Secundaria,7,2005,3,25207.771
Hombre,Carrera técnica,7,2005,3,23590.684
Hombre,Secundaria,8,2005,3,26227.234
Hombre,Carrera técnica,8,2005,3,29907.25
Hombre,Secundaria,9,2005,3,26722.215
Hombre,Carrera técnica,9,2005,3,33942.242
Hombre,Preparatoria o bachillerato,10,2005,3,30750.141
Hombre,Normal,10,2005,3,29238.691
Hombre,Carrera técnica,10,2005,3,28008.189
Hombre,Preparatoria o bachillerato,11,2005,3,33512.156
Hombre,Normal,11,2005,3,31873.752
Hombre,Carrera técnica,11,2005,3,31501.426
Hombre,Preparatoria o bachillerato,12,2005,3,35104.75
Hombre,Normal,12,2005,3,42774.914
Hombre,Carrera técnica,12,2005,3,35353.871
Hombre,Normal,13,2005,3,43457.16
Hombre,Carrera técnica,13,2005,3,43067.012
Hombre,Profesional,13,2005,3,39353.414
Hombre,Normal,14,2005,3,39988.906
Hombre,Carrera técnica,14,2005,3,47649.184
Hombre,Profesional,14,2005,3,42937.273
Hombre,Normal,15,2005,3,44445.609
Hombre,Carrera técnica,15,2005,3,40207.375
Hombre,Profesional,15,2005,3,44645.453
Hombre,Normal,16,2005,3,40081.078
Hombre,Profesional,16,2005,3,57027.777
Hombre,Normal,17,2005,3,37052.066
Hombre,Profesional,17,2005,3,62139.02
Hombre,Maestría,17,2005,3,75856.141
Hombre,Normal,18,2005,3,56857.703
Hombre,Profesional,18,2005,3,58788.988
Hombre,Maestría,18,2005,3,90907.211
Hombre,Normal,19,2005,3,
Hombre,Profesional,19,2005,3,48972.844
Hombre,Maestría,19,2005,3,90151.313
Hombre,Doctorado,19,2005,3,111093.4
Hombre,Profesional,20,2005,3,212645.03
Hombre,Doctorado,20,2005,3,102854.15
Hombre,Doctorado,21,2005,3,99121.844
Hombre,Doctorado,22,2005,3,163777.56
Hombre,Doctorado,24,2005,3,613399.13
Hombre,Primaria,99,2005,3,13163.545
Hombre,Secundaria,99,2005,3,16570.977
Hombre,Preparatoria o bachillerato,99,2005,3,35331.789
Hombre,Normal,99,2005,3,47661.113
Hombre,Carrera técnica,99,2005,3,32724.844
Hombre,Profesional,99,2005,3,54845.098
Hombre,Maestría,99,2005,3,
Hombre,No Sabe,99,2005,3,24886.105
Hombre,Ninguno,0,2005,6,16523.504
Hombre,Preescolar,0,2005,6,23441.311
Hombre,Primaria,0,2005,6,13187.035
Hombre,Primaria,1,2005,6,17321.176
Hombre,Primaria,2,2005,6,19137.037
Hombre,Primaria,3,2005,6,20901.771
Hombre,Primaria,4,2005,6,22240.826
Hombre,Primaria,5,2005,6,21762.15
Hombre,Primaria,6,2005,6,24373.219
Hombre,Secundaria,7,2005,6,26376.043
Hombre,Carrera técnica,7,2005,6,25281.834
Hombre,Secundaria,8,2005,6,26071.859
Hombre,Carrera técnica,8,2005,6,32112.66
Hombre,Secundaria,9,2005,6,27168.334
Hombre,Carrera técnica,9,2005,6,35381.363
Hombre,Preparatoria o bachillerato,10,2005,6,31602.727
Hombre,Normal,10,2005,6,34796.598
Hombre,Carrera técnica,10,2005,6,32725.928
Hombre,Preparatoria o bachillerato,11,2005,6,37663.973
Hombre,Normal,11,2005,6,48304.418
Hombre,Carrera técnica,11,2005,6,32599.645
Hombre,Preparatoria o bachillerato,12,2005,6,35281.27
Hombre,Normal,12,2005,6,42459.035
Hombre,Carrera técnica,12,2005,6,35935.613
Hombre,Normal,13,2005,6,44440.199
Hombre,Carrera técnica,13,2005,6,31564.828
Hombre,Profesional,13,2005,6,39728.449
Hombre,Normal,14,2005,6,41166.039
Hombre,Carrera técnica,14,2005,6,52409.98
Hombre,Profesional,14,2005,6,45066.078
Hombre,Normal,15,2005,6,45628.434
Hombre,Carrera técnica,15,2005,6,40707.078
Hombre,Profesional,15,2005,6,46292.152
Hombre,Normal,16,2005,6,42435.582
Hombre,Profesional,16,2005,6,56413.254
Hombre,Normal,17,2005,6,41024.652
Hombre,Profesional,17,2005,6,61802.609
Hombre,Maestría,17,2005,6,68082.5
Hombre,Normal,18,2005,6,52484.621
Hombre,Profesional,18,2005,6,65576.375
Hombre,Maestría,18,2005,6,94772.117
Hombre,Normal,19,2005,6,21037.92
Hombre,Profesional,19,2005,6,61294.156
Hombre,Maestría,19,2005,6,93831.359
Hombre,Doctorado,19,2005,6,115650.64
Hombre,Profesional,20,2005,6,101202.83
Hombre,Doctorado,20,2005,6,105260.63
Hombre,Doctorado,21,2005,6,95714.711
Hombre,Doctorado,22,2005,6,78508.859
Hombre,Doctorado,23,2005,6,122670.09
Hombre,Doctorado,24,2005,6,
Hombre,Primaria,99,2005,6,25456.498
Hombre,Secundaria,99,2005,6,18098.557
Hombre,Preparatoria o bachillerato,99,2005,6,41082.215
Hombre,Normal,99,2005,6,60047.012
Hombre,Carrera técnica,99,2005,6,33580.938
Hombre,Profesional,99,2005,6,59400.203
Hombre,Maestría,99,2005,6,79122.211
Hombre,Doctorado,99,2005,6,
Hombre,No Sabe,99,2005,6,23035.189
Hombre,Ninguno,0,2005,9,17346.406
Hombre,Preescolar,0,2005,9,23822.311
Hombre,Primaria,0,2005,9,9800.6895
Hombre,Primaria,1,2005,9,17788.084
Hombre,Primaria,2,2005,9,18842.701
Hombre,Primaria,3,2005,9,20441.205
Hombre,Primaria,4,2005,9,20710.633
Hombre,Primaria,5,2005,9,21211.887
Hombre,Primaria,6,2005,9,24237.219
Hombre,Secundaria,7,2005,9,25377.932
Hombre,Carrera técnica,7,2005,9,30467.938
Hombre,Secundaria,8,2005,9,26560.672
Hombre,Carrera técnica,8,2005,9,24313.219
Hombre,Secundaria,9,2005,9,27478.244
Hombre,Carrera técnica,9,2005,9,33878.238
Hombre,Preparatoria o bachillerato,10,2005,9,30861.168
Hombre,Normal,10,2005,9,28893.346
Hombre,Carrera técnica,10,2005,9,33371.219
Hombre,Preparatoria o bachillerato,11,2005,9,33435.395
Hombre,Normal,11,2005,9,28586.613
Hombre,Carrera técnica,11,2005,9,34795.43
Hombre,Preparatoria o bachillerato,12,2005,9,35681.613
Hombre,Normal,12,2005,9,42345.816
Hombre,Carrera técnica,12,2005,9,35081.48
Hombre,Preparatoria o bachillerato,13,2005,9,
Hombre,Normal,13,2005,9,43947.625
Hombre,Carrera técnica,13,2005,9,40410.516
Hombre,Profesional,13,2005,9,37493.168
Hombre,Normal,14,2005,9,34480.195
Hombre,Carrera técnica,14,2005,9,45763.668
Hombre,Profesional,14,2005,9,43635.234
Hombre,Normal,15,2005,9,43404.141
Hombre,Carrera técnica,15,2005,9,42245.773
Hombre,Profesional,15,2005,9,44580.648
Hombre,Normal,16,2005,9,41901.199
Hombre,Profesional,16,2005,9,57482.598
Hombre,Normal,17,2005,9,41870.512
Hombre,Profesional,17,2005,9,61417.949
Hombre,Maestría,17,2005,9,80349.359
Hombre,Normal,18,2005,9,46209.984
Hombre,Profesional,18,2005,9,62048.188
Hombre,Maestría,18,2005,9,89783.633
Hombre,Normal,19,2005,9,20847.359
Hombre,Profesional,19,2005,9,49553.145
Hombre,Maestría,19,2005,9,103172.8
Hombre,Doctorado,19,2005,9,84145.805
Hombre,Profesional,20,2005,9,121558.95
Hombre,Doctorado,20,2005,9,112483.17
Hombre,Doctorado,21,2005,9,114222.48
Hombre,Doctorado,22,2005,9,104155.75
Hombre,Doctorado,23,2005,9,112442.02
Hombre,Doctorado,24,2005,9,121558.95
Hombre,Primaria,99,2005,9,32842.621
Hombre,Secundaria,99,2005,9,21473.793
Hombre,Preparatoria o bachillerato,99,2005,9,26304.486
Hombre,Normal,99,2005,9,85091.258
