month,year,Descripcion Division,Desc Tam Empresa,Rango de edad,Desc Sexo,Salario
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,75 o más años,Mujer,28
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,70-74 años,Mujer,23.8
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,65-69 años,Mujer,25.44
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,60-64 años,Mujer,24.27
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,55-59 años,Mujer,25.65
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,50-54 años,Mujer,26.03
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,45-49 años,Mujer,31.37
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,40-44 años,Mujer,27.34
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,35-39 años,Mujer,27.79
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,30-34 años,Mujer,33.22
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,25-29 años,Mujer,32.84
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,20-24 años,Mujer,30
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,15-19 años,Mujer,28.76
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,Menores de 15 años,Hombre,30
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,75 o más años,Hombre,24.4
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,70-74 años,Hombre,25.25
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,65-69 años,Hombre,26.05
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,60-64 años,Hombre,26.92
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,55-59 años,Hombre,27.16
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,50-54 años,Hombre,27.14
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,45-49 años,Hombre,26.29
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,40-44 años,Hombre,26.74
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,35-39 años,Hombre,26.67
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,30-34 años,Hombre,26.8
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,25-29 años,Hombre,26.73
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,20-24 años,Hombre,26.34
